55255
4
engrpm,800,1800,100,10;EGRkgph,0,200,20,11;MSPhum,40,80,4,12;EngTq,0,1400,140,13
Iteration,Year,Month,Day,Latitude,Longitude,RelativeError,NOxTheoryppm,AbsError,pass,engrpm,EGRkgph,MSPhum,EngTq
3522058990,2015,8,10,44.9461,-93.0973,45.8242,587.7,252.843,1,3,0,6,5
3522058991,2015,8,10,44.9461,-93.0973,9.59925,642.581,49.9163,1,4,3,6,6
3522058992,2015,8,10,44.9461,-93.0974,5.17434,637.667,177.171,1,6,4,6,7
3522058993,2015,8,10,44.9461,-93.0974,4.21481,637.094,229.417,1,5,6,6,7
3522058994,2015,8,10,44.9461,-93.0975,5.80681,680.972,300.755,1,5,5,6,7
3522058995,2015,8,10,44.9461,-93.0976,33.1447,598.841,67.1881,1,3,4,6,5
3522058996,2015,8,10,44.9461,-93.0976,8.10653,584.67,153.757,1,2,2,6,4
3522058997,2015,8,10,44.9461,-93.0977,10.2436,453.888,19.5942,1,2,2,6,4
3522058998,2015,8,10,44.9461,-93.0978,2.08363,478.28,99.6156,1,3,2,6,3
3522058999,2015,8,10,44.9461,-93.0979,1.2592,443.399,96.7368,1,3,2,6,3
3522059000,2015,8,10,44.9461,-93.098,7.81345,406.939,73.159,1,3,2,6,2
3522059001,2015,8,10,44.9462,-93.0982,20.9238,264.458,33.447,1,3,2,6,1
3522059002,2015,8,10,44.9462,-93.0983,34.5519,131.39,94.6849,1,5,2,6,1
3522059003,2015,8,10,44.9462,-93.0984,33.4575,262.695,87.3339,1,6,3,6,1
3522059004,2015,8,10,44.9462,-93.0985,53.872,129.828,43.2204,1,6,2,6,0
3522059014,2015,8,10,44.9463,-93.0991,50.6926,568.011,218.594,1,1,0,6,5
3522059015,2015,8,10,44.9463,-93.0991,45.386,670.018,56.8109,1,4,2,6,6
3522059016,2015,8,10,44.9463,-93.0991,11.015,729.726,222.926,1,6,3,6,7
3522059017,2015,8,10,44.9463,-93.0992,10.1196,771.253,354.809,1,8,8,6,7
3522059018,2015,8,10,44.9463,-93.0992,22.3646,763.537,385.413,1,7,8,6,7
3522059019,2015,8,10,44.9463,-93.0993,32.4936,700.946,261.356,1,5,5,6,6
