accelpedalpos:,ExhaustT:,Wheelspeed:,Instfuelecon:,EngTq:,Support,Count,Kvalue,IsOver
.,0 0 0,0 0 0,.,1 1 1,0.03701209952968606,3683,2.076788998687241,1
.,0 0 0,0 0 0,0 0 0,.,0.03854966434859509,3836,2.051561591143684,1
.,.,0 0 0,0 0 0,1 1 1,0.08530972384129919,8489,1.9481731548412835,0
0 0 0,2 2 2,.,.,.,0.01227037022148973,1221,1.4436685352775624,0
0 0 0,2 2 2,0 0 0,0 0 0,.,0.012200024118663826,1214,1.4430211613109083,0
0 0 0,2 2 2,0 0 0,.,.,0.012200024118663826,1214,1.4430211613109083,0
0 0 0,2 2 2,.,0 0 0,.,0.01221007356192467,1215,1.4420107171305012,0
0 0 0,2 2 2,0 0 0,0 0 0,1 1 1,0.011084535916710214,1103,1.393400297920177,0
0 0 0,2 2 2,0 0 0,.,1 1 1,0.011084535916710214,1103,1.393400297920177,0
0 0 0,2 2 2,.,0 0 0,1 1 1,0.011084535916710214,1103,1.393400297920177,0
.,2 2 2,0 0 0,0 0 0,1 1 1,0.011084535916710214,1103,1.393400297920177,0
0 0 0,2 2 2,.,.,1 1 1,0.011084535916710214,1103,1.393400297920177,0
.,2 2 2,0 0 0,.,1 1 1,0.011084535916710214,1103,1.393400297920177,0
0 0 0,.,.,.,2 2 2,0.005919122080636733,589,2.3398094327675585,0
.,.,0 0 0,.,2 2 2,0.005919122080636733,589,2.3368992220302856,0
0 0 0,.,0 0 0,0 0 0,2 2 2,0.005919122080636733,589,2.3398094327675585,0
0 0 0,.,0 0 0,.,2 2 2,0.005919122080636733,589,2.3398094327675585,0
0 0 0,.,.,0 0 0,2 2 2,0.005919122080636733,589,2.3398094327675585,0
.,.,0 0 0,0 0 0,2 2 2,0.005919122080636733,589,2.3368992220302856,0
0 0 0,1 1 1,.,.,.,0.03368573381034691,3352,2.66824584393046,0
0 0 0,1 1 1,0 0 0,0 0 0,.,0.03367568436708606,3351,2.669165414710309,0
0 0 0,1 1 1,0 0 0,.,.,0.03367568436708606,3351,2.669165414710309,0
0 0 0,1 1 1,.,0 0 0,.,0.03368573381034691,3352,2.668908597493284,0
0 0 0,1 1 1,0 0 0,0 0 0,1 1 1,0.027997748924709572,2786,2.583371665593916,0
0 0 0,1 1 1,0 0 0,.,1 1 1,0.027997748924709572,2786,2.583371665593916,0
0 0 0,1 1 1,.,0 0 0,1 1 1,0.027997748924709572,2786,2.583371665593916,0
.,1 1 1,0 0 0,0 0 0,1 1 1,0.027997748924709572,2786,2.583371665593916,0
0 0 0,1 1 1,.,.,1 1 1,0.027997748924709572,2786,2.583371665593916,0
.,1 1 1,0 0 0,.,1 1 1,0.027997748924709572,2786,2.583371665593916,0
.,.,13 13 13,.,.,0.004070024520641556,405,2.7877967784140174,0
