accelpedalpos:,ExhaustT:,Wheelspeed:,Instfuelecon:,EngTq:,Support,Count,Kvalue,IsOver
.,.,.,.,5 5 5,0.0072657474775897415,723,2.1842097617610228,0
.,.,0 0 1,0 0 0,.,0.009366081119106001,932,2.306184916562542,0
.,.,.,0 0 0,5 5 5,0.007245648591068055,721,2.187589978740786,0
.,.,0 1 2,.,.,0.006351248140852997,632,1.932706378003669,0
.,.,0 1 2,0 0 0,.,0.006351248140852997,632,1.932706378003669,0
5 5 5,.,.,.,.,0.011295574225187925,1124,2.18532605521494,0
5 5 5,.,.,0 0 0,.,0.011014189813884311,1096,2.191393683747181,0
5 5 4,.,.,.,.,0.00636129758411384,633,2.2059127558324128,0
5 5 4,.,.,0 0 0,.,0.006049764843027696,602,2.213897398600573,0
.,.,.,.,4 3 3,0.005044820516943362,502,2.229620280943576,0
.,.,.,0 0 0,4 3 3,0.004753386662378904,473,2.2398823837931507,0
4 4 4,.,.,.,3 3 3,0.008200345700848172,816,2.4146684186325515,0
4 4 4,.,.,0 0 0,3 3 3,0.007788318527153596,775,2.418619339684556,0
3 3 3,.,.,.,2 2 2,0.01056196486714636,1051,2.4262090993966017,0
3 3 3,.,.,0 0 0,2 2 2,0.008592273988021063,855,2.398423807762283,0
7 7 6,.,.,.,.,0.004059975077380713,404,2.4181424784714682,0
.,.,1 2 3,.,.,0.005024721630421674,500,2.2753130657566807,0
.,.,.,.,5 5 4,0.004180568396510834,416,2.2711379152310576,0
7 7 6,.,.,0 0 0,.,0.004039876190859026,402,2.4311814424550797,0
.,.,1 2 3,0 0 0,.,0.005004622743899988,498,2.280974690914861,0
.,.,.,0 0 0,5 5 4,0.0041202717369457735,410,2.2918570681419377,0
6 5 5,.,.,.,.,0.005034771073682518,501,2.20730052518132,0
6 5 5,.,.,0 0 0,.,0.004954375527595771,493,2.210159417781018,0
5 4 3,.,.,.,.,0.004863930538248181,484,2.1760406583748932,0
5 4 3,.,.,0 0 0,.,0.00414037062346746,412,2.238945904707189,0
.,.,.,1 1 1,.,0.013345660650399967,1328,2.264598767396603,0
2 2 2,.,.,1 1 1,.,0.00420066728303252,418,2.1417817991896366,0
.,6 5 5,.,.,.,0.005919122080636733,589,2.051756875752244,0
.,.,.,.,4 4 4,0.007285846364111428,725,2.082211398388828,0
.,.,.,0 0 0,4 4 4,0.007094906942155405,706,2.0870562105228556,0
4 3 2,.,.,.,.,0.005125216063030108,510,2.1260355050879647,0
.,7 6 6,.,.,.,0.004301161715640953,428,2.113388119241724,0
2 2 3,.,.,.,.,0.004693090002813844,467,1.7848910107569984,0
.,.,.,.,1 1 2,0.005145314949551795,512,2.1661956805272777,0
.,6 6 5,.,.,.,0.005899023194115046,587,1.8997682594087504,0
3 3 4,.,.,.,.,0.004934276641074085,491,2.1729265459237688,0
.,5 5 5,.,.,.,0.06199501547614262,6169,2.2646943964800896,0
.,.,.,.,1 2 2,0.004803633878683121,478,2.1794525325206515,0
.,5 5 5,4 4 4,.,.,0.005306106041725289,528,2.2807667027057703,0
.,5 5 5,.,0 0 0,.,0.04779515214857097,4756,2.3429520147055083,0
.,5 5 5,4 4 4,0 0 0,.,0.00453229891064035,451,2.4528289484495422,0
3 4 4,.,.,.,.,0.005054869960204204,503,2.2614195576403016,0
3 4 4,.,.,0 0 0,.,0.004100172850424086,408,2.2843139825255285,0
.,.,4 4 5,.,.,0.01737548739799815,1729,2.3354850647104333,0
.,.,4 4 5,0 0 0,.,0.01689311412147767,1681,2.360499170636689,0
.,4 4 4,.,.,.,0.07489850062306548,7453,2.162778900487741,0
.,4 4 4,4 4 4,.,.,0.009265586686497568,922,2.314420334139126,0
.,.,.,2 0 0,.,0.005838726534549986,581,1.1836377018408075,0
.,4 4 4,.,.,1 1 1,0.0040800739639024,406,1.7858316028185264,0
.,4 4 4,.,0 0 0,.,0.057382321019415525,5710,2.227875280152209,0
.,4 4 4,4 4 4,0 0 0,.,0.007476785786067452,744,2.4366919158939533,0
.,4 4 3,.,.,.,0.004642842786509628,462,1.1827931850880389,0
3 3 3,4 4 4,.,.,.,0.004281062829119267,426,2.517207661007273,0
.,4 4 4,.,.,2 2 2,0.004371507818466857,435,2.3659118866125914,0
.,4 4 4,.,0 0 1,.,0.004059975077380713,404,1.9542864792524808,0
.,3 3 3,.,.,.,0.06608513888330586,6576,1.9514822428724363,0
.,3 3 3,4 4 4,.,.,0.00852192788519516,848,2.0532346310244867,0
.,3 3 3,.,.,1 1 1,0.006763275314547574,673,1.2281776496857642,0
.,3 3 3,.,0 0 0,.,0.051503396711822164,5125,2.0148473721441165,0
.,3 3 3,4 4 4,0 0 0,.,0.006823571974112634,679,2.2330614344654527,0
.,3 3 3,.,.,2 2 2,0.004341359488684327,432,2.5337961176216632,0
.,3 2 2,.,.,.,0.005235759938899385,521,1.2959065018772102,0
.,2 2 2,.,.,.,0.050247216304216746,5000,1.8001360471310572,0
.,2 2 2,4 4 4,.,.,0.004763436105639747,474,1.8926590719814742,0
.,3 3 4,.,.,.,0.015827873135828275,1575,2.1640561786320784,0
.,3 3 4,.,0 0 0,.,0.015415845962133698,1534,2.1965751895517776,0
.,4 4 4,3 3 3,.,.,0.005577441009768059,555,2.237792884568128,0
.,4 4 4,3 3 3,0 0 0,.,0.004753386662378904,473,2.330818589092704,0
.,.,.,.,5 6 7,0.00636129758411384,633,2.1849228739829663,0
.,.,.,0 0 0,5 6 7,0.006321099811070467,629,2.190275422425029,0
.,3 4 4,.,.,.,0.01766692125256261,1758,2.170110755144324,0
.,3 4 4,.,0 0 0,.,0.01695341078104273,1687,2.21060184172025,0
6 5 4,.,.,.,.,0.00411022229368493,409,2.176306489300752,0
.,4 3 3,.,.,.,0.006783374201069261,675,1.4960516990543309,0
.,.,.,1 1 0,.,0.006532138119548177,650,1.6014163160419923,0
.,2 2 2,.,0 0 0,.,0.038539614905334245,3835,1.8161215143850555,0
.,.,.,.,2 3 3,0.004341359488684327,432,2.2803058114026324,0
.,2 2 3,.,.,.,0.011386019214535515,1133,2.101516441899089,0
.,2 2 3,.,0 0 0,.,0.011024239257145154,1097,2.1531317595263557,0
.,2 3 3,.,.,.,0.012973831249748763,1291,2.123487356620252,0
.,2 3 3,.,0 0 0,.,0.012380914097359006,1232,2.1558361378505504,0
.,.,4 5 5,.,.,0.016812718575390923,1673,2.199088022747865,0
.,.,4 5 5,0 0 0,.,0.015978614784740924,1590,2.233184291179204,0
.,.,5 5 5,.,.,0.072747919765245,7239,2.2223153809274083,0
.,3 3 3,5 5 5,.,.,0.009908751055191543,986,2.3879607448541824,0
.,.,5 5 5,0 0 1,.,0.005808578204767456,578,2.145803591766037,0
.,2 2 2,.,.,1 1 1,0.013295413434095751,1323,1.4739758096792177,0
.,2 2 2,.,0 0 0,1 1 1,0.012049282469751175,1199,1.4359541901814281,0
4 4 4,.,5 5 5,.,.,0.004672991116292158,465,2.781789080858791,0
.,2 2 2,5 5 5,.,.,0.008773163966716244,873,2.405733397346168,0
.,.,5 5 5,0 0 0,.,0.046317883989226996,4609,2.411071997552109,0
4 4 4,.,5 5 5,0 0 0,.,0.0045825461269445675,456,2.788342071544234,0
.,2 2 2,5 5 5,0 0 0,.,0.004873979981509025,485,2.618658066069588,0
.,.,.,0 0 2,.,0.005265908268681915,524,1.4391712086270705,0
2 2 2,.,5 5 5,.,.,0.005356353258029505,533,2.0871175097918235,0
.,1 1 1,.,.,.,0.04935281585400169,4911,2.3366868439603983,0
.,1 1 1,5 5 5,.,.,0.004250914499336737,423,1.9529503520318523,0
.,1 1 1,.,0 0 0,.,0.04257949109619327,4237,2.5049178453449437,0
3 3 3,.,5 5 5,.,.,0.006532138119548177,650,2.618516731722293,0
3 3 3,.,5 5 5,0 0 0,.,0.005818627648028299,579,2.6514435130780947,0
4 5 5,.,.,.,.,0.004361458375206013,434,2.218610366963148,0
.,1 1 2,.,.,.,0.005195562165856012,517,2.0462952616231833,0
.,1 1 2,.,0 0 0,.,0.004914177754552398,489,2.1125662500119318,0
.,1 2 2,.,.,.,0.00630100092454878,627,2.0875973325726243,0
.,1 2 2,.,0 0 0,.,0.0059794187402017925,595,2.1166544225199098,0
7 7 7,.,.,.,.,0.007738071310849379,770,2.5022740244442057,0
.,.,.,.,6 7 7,0.005888973750854203,586,2.36885822769181,0
7 7 7,.,.,0 0 0,.,0.007728021867588536,769,2.5014435762566505,0
.,.,.,0 0 0,6 7 7,0.005868874864332516,584,2.369625795517061,0
.,0 0 0,.,.,.,0.04551392852835953,4529,1.9899176027862708,1
.,0 0 0,.,.,1 1 1,0.0376251155685975,3744,2.0740196902067707,1
.,0 0 0,.,0 0 0,.,0.0420066728303252,4180,2.0433911029201823,1
.,0 0 0,.,0 0 0,1 1 1,0.03728343449772883,3710,2.0758558204726083,1
.,.,.,.,6 6 6,0.01074285484584154,1069,2.4885954488490367,0
.,.,.,0 0 0,6 6 6,0.010732805402580698,1068,2.4930805004240995,0
4 4 5,.,.,.,.,0.00411022229368493,409,2.3023391268179134,0
.,.,.,.,4 5 6,0.0046528922297704705,463,2.2577647173545703,0
.,.,.,0 0 0,4 5 6,0.00459259557020541,457,2.280848987696184,0
8 8 8,.,.,.,.,0.004059975077380713,404,2.476094263678738,0
8 8 8,.,.,0 0 0,.,0.004029826747598183,401,2.484727476868804,0
.,.,.,.,8 8 8,0.00429111227238011,427,2.4528289484495422,1
.,.,.,0 0 0,8 8 8,0.00429111227238011,427,2.4575010035894462,1
.,4 4 4,5 5 5,.,.,0.01260200184909756,1254,2.4091151652098475,0
.,4 4 4,5 5 5,0 0 0,.,0.008803312296498774,876,2.5006513996457285,0
.,3 3 3,5 5 5,0 0 0,.,0.006160308718896973,613,2.6287702654269363,0
.,.,5 5 5,.,1 1 1,0.00456244724042288,454,2.4161319264799204,0
.,.,5 5 5,.,2 2 2,0.005275957711942759,525,2.7559563355028303,0
.,.,5 5 5,0 0 0,2 2 2,0.004904128311291555,488,2.7642992911098014,0
.,.,.,.,7 7 7,0.0045825461269445675,456,2.4382807340459265,0
.,.,.,0 0 0,7 7 7,0.004572496683683724,455,2.43679738669497,0
6 6 5,.,.,.,.,0.005004622743899988,498,2.208543138542982,0
6 6 5,.,.,0 0 0,.,0.004974474414117458,495,2.2154584050512,0
.,3 3 3,3 3 3,.,.,0.006190457048679503,616,2.1073888715428986,0
.,3 3 3,3 3 3,0 0 0,.,0.0050146721871608315,499,2.2419987872620557,0
.,4 4 5,.,.,.,0.016330345298870442,1625,2.235371281904445,0
.,4 4 5,.,0 0 0,.,0.015918318125175867,1584,2.2632208022621576,0
.,4 5 5,.,.,.,0.017425734614302368,1734,2.2978230075927493,0
.,4 5 5,.,0 0 0,.,0.01680266913213008,1672,2.3256970628665656,0
.,.,2 3 4,.,.,0.004341359488684327,432,2.2989614498383166,1
.,.,2 3 4,0 0 0,.,0.004331310045423483,431,2.308723351601857,1
.,5 4 4,.,.,.,0.006863769747156008,683,1.8381420661597048,0
.,3 3 3,.,0 0 0,1 1 1,0.0054467982473770955,542,1.1197819700423468,0
.,1 1 1,.,.,1 1 1,0.029294127105358364,2915,2.5476177594610543,0
.,1 1 1,.,0 0 0,1 1 1,0.028409776098404147,2827,2.570294915160497,0
9 10 10,.,.,.,.,0.008843510069542147,880,2.2412292680375216,0
9 10 10,.,.,0 0 0,.,0.008823411183020461,878,2.242298068688441,0
10 10 9,.,.,.,.,0.00809985126823974,806,2.3467391110044082,0
10 10 9,.,.,0 0 0,.,0.00803955460867468,800,2.348419071796484,0
.,.,5 5 6,.,.,0.01257185351931503,1251,2.3816636984945267,1
.,.,5 5 6,0 0 0,.,0.011958837480403585,1190,2.4343106791064093,1
.,.,5 6 6,.,.,0.013777786710616233,1371,2.53423153722088,0
.,.,5 6 6,0 0 0,.,0.0128431884873578,1278,2.5878064548594857,0
.,.,6 6 6,.,.,0.06587410057482815,6555,2.217083550926876,0
.,4 4 4,6 6 6,.,.,0.009677613860192145,963,2.218943835180784,0
.,.,6 6 6,0 0 0,.,0.044890863046187245,4467,2.3938504506185017,0
.,4 4 4,6 6 6,0 0 0,.,0.006079913172810226,605,2.26511244729269,0
.,3 3 3,6 6 6,.,.,0.005356353258029505,533,2.08301095985497,0
.,.,.,.,7 8 8,0.00423081561281505,421,2.4433949909555057,1
.,.,.,0 0 0,7 8 8,0.0042207661695542065,420,2.444952169552787,0
.,5 5 6,.,.,.,0.013104474012139728,1304,2.3138402542542766,0
.,5 5 6,.,0 0 0,.,0.01272259516822768,1266,2.3462733049078746,0
.,5 5 5,6 6 6,.,.,0.011054387586927684,1100,2.2588298129807733,0
.,5 5 5,6 6 6,0 0 0,.,0.007677774651284319,764,2.3057768532187546,0
.,.,6 6 6,0 0 1,.,0.004753386662378904,473,2.0097955996774552,0
10 10 10,.,.,.,.,0.07053704224785946,7019,2.3881476072269563,0
10 10 10,.,.,0 0 0,.,0.07041644892872935,7007,2.389069105564613,0
10 10 10,3 4 4,.,.,.,0.004281062829119267,426,2.237357813387188,1
10 10 10,.,2 2 3,.,.,0.005155364392812638,513,2.2908026459604973,1
